0x36911f9 AL_ADPCM_WAVE
0x3691207 AL_RAW16_WAVE
0x3691535 pvoice
0x36915be paramList
0x36915c8 mainBus
0x36915d0 auxBus
0x36915d7 outputFilter
0x36961c4 HV_0
0x36961c9 HV_QUIET
0x36961d2 HV_THREAD
0x36961dc HV_GAME
0x36961e4 HV_GAME_ALLOC
0x36961f2 HV_MALLOC
0x36961fc HV_DMA
0x3696203 HV_OVERLAY
0x369620e HV_MAIN
0x3696216 HV_GRAPH
0x369621f HV_GRAPH_ALLOC
0x369622e HV_FLASHROM
0x369623a HV_PADMGR
0x3696244 HV_MAX
0x36a4403 V_E
0x36a4407 V_C
0x36a440b V_S_CHAR
0x36a4414 V_U_CHAR
0x36a441d V_S_SHORT
0x36a4427 V_U_SHORT
0x36a4431 V_S_INT
0x36a4439 V_U_INT
0x36a4441 V_FLOAT
0x36a4449 V_FLOAT_X1000
0x36a4457 V_XYZ_T
0x36a445f V_XYZ_T_X1000
0x36a446d V_S_XYZ
0x36a4880 POINT_LIGHT
0x36a488c DIFFUSE_LIGHT
0x36a489a POINT2_LIGHT
0x36a4fbd SLELETON_PROC_GET
0x36a4fcf SLELETON_PROC_COPY
0x36a4fe2 SLELETON_PROC_MORF
0x36a4ff5 SLELETON_PROC_ADD
0x36a5007 SLELETON_PROC_ADD_REV
0x36a501d SLELETON_PROC_ANIME_MOVE
0x36a5036 SLELETON_PROC_MAX
0x36a5212 ANIME_FRAME_REPEAT
0x36a5225 ANIME_FRAME_REPEAT_S
0x36a523a ANIME_FRAME_STOP
0x36a524b ANIME_FRAME_STOP_S
0x36a525e ANIME_FRAME_REPEAT2
0x36a5272 ANIME_FRAME_REPEAT2_S
0x36a547e EAI_TYPE_SCROLL_1
0x36a5490 EAI_TYPE_SCROLL_2
0x36a54a2 EAT_TYPE_COLREG_MANUAL
0x36a54b9 EAT_TYPE_COLREG_LINEAR
0x36a54d0 EAT_TYPE_COLREG_NONLINEAR
0x36a54ea EAT_TYPE_TEXANIME
0x36a54fc EAT_TYPE_END_CODE
0x36a5d6e message_buf
0x36a5d7a nes_mes_buf
0x36abee1 ACTOR_EVENT_GORON_PRESS
0x36abef9 ACTOR_EVENT_ZORA_ELEC
0x36abf0f ACTOR_EVENT_GORON_PUNCH
0x36abf27 ACTOR_EVENT_MAX
0x36abf6f BGCHECK_TYPE_BASIC
0x36abf82 BGCHECK_TYPE_PLAYER
0x36abf96 ANCHOR_RANGE_A
0x36abfa5 ANCHOR_RANGE_B
0x36abfb4 ANCHOR_RANGE_C
0x36abfc3 ANCHOR_RANGE_D
0x36abfd2 ANCHOR_RANGE_E
0x36abfe1 ANCHOR_RANGE_F
0x36abff0 ANCHOR_RANGE_G
0x36abfff ANCHOR_RANGE_H
0x36ac00e ANCHOR_RANGE_I
0x36ac01d ANCHOR_RANGE_P
0x36ac02c ANCHOR_RANGE_J
0x36ac03b ANCHOR_RANGE_MAX
0x36ac0a5 ACTOR_PART_SWITCH
0x36ac0b7 ACTOR_PART_FRIEND
0x36ac0c9 ACTOR_PART_PLAYER
0x36ac0db ACTOR_PART_BOM
0x36ac0ea ACTOR_PART_PEOPLE
0x36ac0fc ACTOR_PART_ENEMY
0x36ac10d ACTOR_PART_OBJ
0x36ac11c ACTOR_PART_EFFECT
0x36ac12e ACTOR_PART_ITEM
0x36ac13e ACTOR_PART_BOSS
0x36ac14e ACTOR_PART_DOOR
0x36ac15e ACTOR_PART_TREASURE
0x36ac172 ACTOR_PART_MAX
0x36ac356 ITEM00_RUPEE_1
0x36ac365 ITEM00_RUPEE_5
0x36ac374 ITEM00_RUPEE_10
0x36ac384 ITEM00_HEART
0x36ac391 ITEM00_BOMB
0x36ac39d ITEM00_AROW
0x36ac3a9 ITEM00_H_KAKERA
0x36ac3b9 ITEM00_H_UTUWA
0x36ac3c8 ITEM00_N_ARROW5
